Username,Datetime,Text
dadear_1991,2022-12-01 23:59:06+00:00,"Thanks GOT7 for spending 3,489 minutes with me in 2022. I couldn’t stop listening to NANANA. #SpotifyWrapped https://t.co/Dh5fRnMwxo"
Mugikinnie,2022-12-01 23:59:05+00:00,"this is my apology to my friend Luka for growling and barking at him :/ it was not my intention to hurt anyone , i will never let the demons win again :( 

#apology #kpop #army #SpotifyWrapped #chuu #rm #loona #yeonjun #kys #fakeapology #straykidsflopped"
AbdullahEV,2022-12-01 23:59:05+00:00,#SpotifyWrapped كانت سنة عظيمة والله. https://t.co/ikKei1c2MK
siriuslysonia,2022-12-01 23:59:04+00:00,give me a number 1-100 and i’ll tell you that number on my spotify wrapped 💞 don’t let this flop 🙈
THartismo,2022-12-01 23:59:03+00:00,Hostia tú que los de YouTube han copiao a los de Spotify y han hecho un wrapped (literalmente calcao xd). Siento decepcionaros pero en Youtube no escucho trap en turco... https://t.co/2ePnYcSEmI
shooterkluu,2022-12-01 23:59:03+00:00,"Thanks Yeat for spending 1,706 minutes with me in 2022. I couldn’t stop listening to Appear. #SpotifyWrapped https://t.co/UVAt8Z5Gv7"
CU_Galaxy,2022-12-01 23:59:03+00:00,@MaxKless @zackderose Culture 👌 (I’ve been waiting for all the nrwlians to post their Spotify wrapped )
BelveAndrea,2022-12-01 23:59:03+00:00,Grazie Emis Killa per i 831 minuti trascorsi insieme nel 2022. Renè &amp; Francis sempre in loop. Ma sempre sempre. #SpotifyWrapped https://t.co/72IAsW21xO
HeagamusMaximus,2022-12-01 23:59:03+00:00,i have discovered that i have access to spotify for artists. greetings to all my latvian fan #SpotifyWrapped #2022ArtistWrapped https://t.co/RZpVVCkXli
el_caiao,2022-12-01 23:59:02+00:00,Recap do yt &gt; playlist wrapped do spotify
AshleyFulmer16,2022-12-01 23:59:02+00:00,"Thanks @billieeilish for spending 6,051 minutes with me in 2022. I couldn’t stop listening to my future. 🥺❤️🖤 #SpotifyWrapped https://t.co/GlBvT0zMNV"
FieldsMixedMan8,2022-12-01 23:59:02+00:00,"Thanks We Hate Movies for being my top podcast on @Spotify this year. I loved all 31,328 minutes of it. #SpotifyWrapped https://t.co/XY19HQwUSJ"
jenny_whh,2022-12-01 23:59:02+00:00,"Thanks @sushitrash for spending 2,439 minutes with me in 2022. I couldn’t stop listening to Afterthought. #SpotifyWrapped https://t.co/rcEYSXoQYf"
Am_a_Martian,2022-12-01 23:59:00+00:00,Thanks @roddyricch for spending 809 minutes with me in 2022. I couldn’t stop listening to The Woo (feat. 50 Cent &amp; Roddy Ricch). #SpotifyWrapped https://t.co/LBGv4Pu9ss
